CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2000,Daily Vehicles (per km of road),,2440.67151
4805026,Drumheller,2001,Daily Vehicles (per km of road),,2328.48399
4805026,Drumheller,2002,Daily Vehicles (per km of road),,1482.75917
4805026,Drumheller,2003,Daily Vehicles (per km of road),,1473.37462
4805026,Drumheller,2004,Daily Vehicles (per km of road),,1547.28503
4805026,Drumheller,2005,Daily Vehicles (per km of road),,1585.12050
4805026,Drumheller,2006,Daily Vehicles (per km of road),,1608.28407
4805026,Drumheller,2007,Daily Vehicles (per km of road),,1587.60552
4805026,Drumheller,2008,Daily Vehicles (per km of road),,1606.84922
4805026,Drumheller,2009,Daily Vehicles (per km of road),,1443.32843
4805026,Drumheller,2010,Daily Vehicles (per km of road),,1395.11949
4805026,Drumheller,2011,Daily Vehicles (per km of road),,1375.87646
4805026,Drumheller,2012,Daily Vehicles (per km of road),,2024.16220
4805026,Drumheller,2013,Daily Vehicles (per km of road),,2281.10405
4805031,Starland County,2013,Daily Vehicles (per km of road),,831.23896
4805031,Starland County,2000,Daily Vehicles (per km of road),,1928.10140
4805031,Starland County,2001,Daily Vehicles (per km of road),,1895.61934
4805031,Starland County,2002,Daily Vehicles (per km of road),,824.02743
4805031,Starland County,2003,Daily Vehicles (per km of road),,821.27455
4805031,Starland County,2004,Daily Vehicles (per km of road),,826.00578
4805031,Starland County,2005,Daily Vehicles (per km of road),,875.43766
4805031,Starland County,2006,Daily Vehicles (per km of road),,911.12795
4805031,Starland County,2007,Daily Vehicles (per km of road),,924.96298
4805031,Starland County,2008,Daily Vehicles (per km of road),,886.46306
4805031,Starland County,2009,Daily Vehicles (per km of road),,866.53166
4805031,Starland County,2010,Daily Vehicles (per km of road),,825.48586
4805031,Starland County,2011,Daily Vehicles (per km of road),,859.88111
4805031,Starland County,2012,Daily Vehicles (per km of road),,893.56426
4805041,Kneehill County,2000,Daily Vehicles (per km of road),,1884.48461
4805041,Kneehill County,2001,Daily Vehicles (per km of road),,1872.32618
4805041,Kneehill County,2002,Daily Vehicles (per km of road),,999.23602
4805041,Kneehill County,2003,Daily Vehicles (per km of road),,1024.27256
4805041,Kneehill County,2004,Daily Vehicles (per km of road),,1059.84141
4805041,Kneehill County,2005,Daily Vehicles (per km of road),,1114.02022
4805041,Kneehill County,2006,Daily Vehicles (per km of road),,1152.79331
4805041,Kneehill County,2007,Daily Vehicles (per km of road),,1171.36983
4805041,Kneehill County,2008,Daily Vehicles (per km of road),,1204.04634
4805041,Kneehill County,2009,Daily Vehicles (per km of road),,1219.56370
4805041,Kneehill County,2010,Daily Vehicles (per km of road),,1223.42576
4805041,Kneehill County,2011,Daily Vehicles (per km of road),,1211.80009
4805041,Kneehill County,2012,Daily Vehicles (per km of road),,1220.47480
4805041,Kneehill County,2013,Daily Vehicles (per km of road),,1191.24518
4802001,Warner County No. 5,2013,Daily Vehicles (per km of road),,931.24845
